ExchangeSegment,ExchangeInstrumentId,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentId,PriceBandHigh,PriceBandLow,FreezeQty,TickSize,LotSize,Multiplier,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,StrikePrice,OptionType,DisplayName,PriceNumerator,PriceDenominator,DetailedDescription
BSECD,10000046,1,741GSEC36,741GSEC36,FUTIRD,741GSEC36-FUTIRD,13908510000046,NaN,NaN,0,0.0025,1,1000,-1,741GSEC36,2099-03-26T00:00:00,0,0,741GSEC36 26MAR2099,1,1,741GSEC36
BSECD,1045185,1,648GS2035,648GS203526SEPFUT,FUTIRD,648GS2035-FUTIRD,13626701045185,100.6,94.74,0,0.0025,1,2000,-1,648GS2035,2026-09-24T00:00:00,0,0,648GS2035 24SEP2026,1,1,648GS203526SEPFUT
BSECD,1084827,1,USDINR,USDINR26918FUT,FUTCUR,USDINR-FUTCUR,13626101084827,99.62,93.82,20011,0.0025,1,1000,600,,2026-09-18T00:00:00,0,0,USDINR 18SEP2026,1,1,USDINR26918FUT
BSECD,1075015,1,694GS2036,694GS203626DECFUT,FUTIRD,694GS2036-FUTIRD,13636501075015,103.48,97.45,0,0.0025,1,2000,-1,694GS2036,2026-12-31T00:00:00,0,0,694GS2036 31DEC2026,1,1,694GS203626DECFUT
BSECD,1050584,1,GBPINR,GBPINR26NOVFUT,FUTCUR,GBPINR-FUTCUR,13633001050584,132.41,124.7,20004,0.0025,1,1000,601,,2026-11-26T00:00:00,0,0,GBPINR 26NOV2026,1,1,GBPINR26NOVFUT
BSECD,1076375,1,GBPINR,GBPINR27MAYFUT,FUTCUR,GBPINR-FUTCUR,13714701076375,136.22,123.24,20004,0.0025,1,1000,601,,2027-05-27T00:00:00,0,0,GBPINR 27MAY2027,1,1,GBPINR27MAYFUT
BSECD,2131862,1,USDINR,USDINR26821FUT,FUTCUR,USDINR-FUTCUR,13623302131862,98.79,93.03,20011,0.0025,1,1000,600,,2026-08-21T00:00:00,0,0,USDINR 21AUG2026,1,1,USDINR26821FUT
BSECD,1001306,1,JPYINR,JPYINR26O01FUT,FUTCUR,JPYINR-FUTCUR,13627401001306,60.92,57.38,20006,0.0025,1,1000,603,,2026-10-01T00:00:00,0,0,JPYINR 01OCT2026,1,1,JPYINR26O01FUT
BSECD,1067667,1,648GS2035,648GS203527MARFUT,FUTIRD,648GS2035-FUTIRD,13708401067667,100.14,94.31,0,0.0025,1,2000,-1,648GS2035,2027-03-25T00:00:00,0,0,648GS2035 25MAR2027,1,1,648GS203527MARFUT
BSECD,1046735,1,JPYINR,JPYINR26OCTFUT,FUTCUR,JPYINR-FUTCUR,13630101046735,61.19,57.62,20006,0.0025,1,1000,603,,2026-10-28T00:00:00,0,0,JPYINR 28OCT2026,1,1,JPYINR26OCTFUT
BSECD,1059044,1,JPYINR,JPYINR27JANFUT,FUTCUR,JPYINR-FUTCUR,13702701059044,62.07,58.45,20006,0.0025,1,1000,603,,2027-01-27T00:00:00,0,0,JPYINR 27JAN2027,1,1,JPYINR27JANFUT
BSECD,1042498,1,GBPUSD,GBPUSD26SEPFUT,FUTCUR,GBPUSD-FUTCUR,13627101042498,1.37,1.29,20015,0.0001,1,1000,624,,2026-09-28T00:00:00,0,0,GBPUSD 28SEP2026,1,1,GBPUSD26SEPFUT
BSECD,10000053,1,601GSEC30,601GSEC30,FUTIRD,601GSEC30-FUTIRD,13908510000053,NaN,NaN,0,0.0025,1,1000,-1,601GSEC30,2099-03-26T00:00:00,0,0,601GSEC30 26MAR2099,1,1,601GSEC30
BSECD,1081003,1,91DTB,91DTB26DECFUT,FUTIRT,91DTB-FUTIRT,13636401081003,95.89,94,0,0.0025,1,2000,-1,91DTB,2026-12-30T00:00:00,0,0,91DTB 30DEC2026,1,1,91DTB26DECFUT
BSECD,1084837,1,EURUSD,EURUSD26918FUT,FUTCUR,EURUSD-FUTCUR,13626101084837,1.17,1.11,20017,0.0001,1,1000,625,,2026-09-18T00:00:00,0,0,EURUSD 18SEP2026,1,1,EURUSD26918FUT
BSECD,1081019,1,USDINR,USDINR27JUNFUT,FUTCUR,USDINR-FUTCUR,13717901081019,102.56,92.79,20011,0.0025,1,1000,600,,2027-06-28T00:00:00,0,0,USDINR 28JUN2027,1,1,USDINR27JUNFUT
BSECD,1081614,1,694GS2036,694GS203627JUNFUT,FUTIRD,694GS2036-FUTIRD,13717501081614,103.02,97.02,0,0.0025,1,2000,-1,694GS2036,2027-06-24T00:00:00,0,0,694GS2036 24JUN2027,1,1,694GS203627JUNFUT
BSECD,1079265,1,GBPUSD,GBPUSD26904FUT,FUTCUR,GBPUSD-FUTCUR,13624701079265,1.37,1.29,20015,0.0001,1,1000,624,,2026-09-04T00:00:00,0,0,GBPUSD 04SEP2026,1,1,GBPUSD26904FUT
BSECD,1072111,1,648GS2035,648GS203526JULFUT,FUTIRD,648GS2035-FUTIRD,13621101072111,100.78,94.9,0,0.0025,1,2000,-1,648GS2035,2026-07-30T00:00:00,0,0,648GS2035 30JUL2026,1,1,648GS203526JULFUT
BSECD,1059043,1,EURINR,EURINR27JANFUT,FUTCUR,EURINR-FUTCUR,13702701059043,114.47,107.8,20000,0.0025,1,1000,602,,2027-01-27T00:00:00,0,0,EURINR 27JAN2027,1,1,EURINR27JANFUT
BSECD,1001307,1,EURUSD,EURUSD26O01FUT,FUTCUR,EURUSD-FUTCUR,13627401001307,1.18,1.11,20017,0.0001,1,1000,625,,2026-10-01T00:00:00,0,0,EURUSD 01OCT2026,1,1,EURUSD26O01FUT
BSECD,1072109,1,633GS2035,633GS203526JULFUT,FUTIRD,633GS2035-FUTIRD,13621101072109,100.38,94.53,0,0.0025,1,2000,-1,633GS2035,2026-07-30T00:00:00,0,0,633GS2035 30JUL2026,1,1,633GS203526JULFUT
BSECD,1076799,1,694GS2036,694GS203626AUGFUT,FUTIRD,694GS2036-FUTIRD,13623901076799,103.89,97.84,0,0.0025,1,2000,-1,694GS2036,2026-08-27T00:00:00,0,0,694GS2036 27AUG2026,1,1,694GS203626AUGFUT
BSECD,1042504,1,723GS2039,723GS203926SEPFUT,FUTIRD,723GS2039-FUTIRD,13626701042504,104.92,98.81,0,0.0025,1,2000,-1,723GS2039,2026-09-24T00:00:00,0,0,723GS2039 24SEP2026,1,1,723GS203926SEPFUT
BSECD,1081023,1,EURINR,EURINR27JUNFUT,FUTCUR,EURINR-FUTCUR,13717901081023,117.89,106.66,20000,0.0025,1,1000,602,,2027-06-28T00:00:00,0,0,EURINR 28JUN2027,1,1,EURINR27JUNFUT
BSECD,1072112,1,668GS2040,668GS204026JULFUT,FUTIRD,668GS2040-FUTIRD,13621101072112,100.02,94.19,0,0.0025,1,2000,-1,668GS2040,2026-07-30T00:00:00,0,0,668GS2040 30JUL2026,1,1,668GS204026JULFUT
BSECD,10000022,1,679GSEC27,679GSEC27,FUTIRD,679GSEC27-FUTIRD,13908510000022,NaN,NaN,0,0.0025,1,1000,-1,679GSEC27,2099-03-26T00:00:00,0,0,679GSEC27 26MAR2099,1,1,679GSEC27
BSECD,1046738,1,GBPUSD,GBPUSD26OCTFUT,FUTCUR,GBPUSD-FUTCUR,13630101046738,1.37,1.29,20015,0.0001,1,1000,624,,2026-10-28T00:00:00,0,0,GBPUSD 28OCT2026,1,1,GBPUSD26OCTFUT
BSECD,1071574,1,USDJPY,USDJPY27APRFUT,FUTCUR,USDJPY-FUTCUR,13711801071574,167.23,151.3,20009,0.01,1,1000,623,,2027-04-28T00:00:00,0,0,USDJPY 28APR2027,1,1,USDJPY27APRFUT
BSECD,1076374,1,USDINR,USDINR27MAYFUT,FUTCUR,USDINR-FUTCUR,13714701076374,102.46,92.7,20011,0.0025,1,1000,600,,2027-05-27T00:00:00,0,0,USDINR 27MAY2027,1,1,USDINR27MAYFUT
BSECD,1054684,1,723GS2039,723GS203926DECFUT,FUTIRD,723GS2039-FUTIRD,13636501054684,104.53,98.44,0,0.0025,1,2000,-1,723GS2039,2026-12-31T00:00:00,0,0,723GS2039 31DEC2026,1,1,723GS203926DECFUT
BSECD,1063062,1,USDINR,USDINR27FEBFUT,FUTCUR,USDINR-FUTCUR,13705501063062,102.14,92.41,20011,0.0025,1,1000,600,,2027-02-24T00:00:00,0,0,USDINR 24FEB2027,1,1,USDINR27FEBFUT
BSECD,1076419,1,91DTB,91DTB26AUGFUT,FUTIRT,91DTB-FUTIRT,13623701076419,95.77,93.87,0,0.0025,1,2000,-1,91DTB,2026-08-25T00:00:00,0,0,91DTB 25AUG2026,1,1,91DTB26AUGFUT
BSECD,1075010,1,636GS2031,636GS203126DECFUT,FUTIRD,636GS2031-FUTIRD,13636501075010,102.38,96.42,0,0.0025,1,2000,-1,636GS2031,2026-12-31T00:00:00,0,0,636GS2031 31DEC2026,1,1,636GS203126DECFUT
BSECD,1067602,1,USDINR,USDINR27MARFUT,FUTCUR,USDINR-FUTCUR,13708801067602,102.24,92.5,20011,0.0025,1,1000,600,,2027-03-29T00:00:00,0,0,USDINR 29MAR2027,1,1,USDINR27MARFUT
BSECD,2170558,1,ONMIBOR,ONMIBOR26SEPFUT,FUTIRD,ONMIBOR-FUTIRD,13627302170558,5.68,5.13,0,0.0025,1,41100,-1,ONMIBOR,2026-09-30T00:00:00,0,0,ONMIBOR 30SEP2026,1,1,ONMIBOR26SEPFUT
BSECD,10000018,1,761GSEC30,761GSEC30,FUTIRD,761GSEC30-FUTIRD,13908510000018,NaN,NaN,0,0.0025,1,1000,-1,761GSEC30,2099-03-26T00:00:00,0,0,761GSEC30 26MAR2099,1,1,761GSEC30
BSECD,1002548,1,EURUSD,EURUSD27JULFUT,FUTCUR,EURUSD-FUTCUR,13720901002548,1.21,1.09,20017,0.0001,1,1000,625,,2027-07-28T00:00:00,0,0,EURUSD 28JUL2027,1,1,EURUSD27JULFUT
BSECD,1067607,1,EURUSD,EURUSD27MARFUT,FUTCUR,EURUSD-FUTCUR,13708801067607,1.2,1.09,20017,0.0001,1,1000,625,,2027-03-29T00:00:00,0,0,EURUSD 29MAR2027,1,1,EURUSD27MARFUT
BSECD,1001308,1,GBPUSD,GBPUSD26O01FUT,FUTCUR,GBPUSD-FUTCUR,13627401001308,1.37,1.29,20015,0.0001,1,1000,624,,2026-10-01T00:00:00,0,0,GBPUSD 01OCT2026,1,1,GBPUSD26O01FUT
BSECD,1076376,1,EURINR,EURINR27MAYFUT,FUTCUR,EURINR-FUTCUR,13714701076376,117.68,106.47,20000,0.0025,1,1000,602,,2027-05-27T00:00:00,0,0,EURINR 27MAY2027,1,1,EURINR27MAYFUT
BSECD,10000041,1,667GSEC35,667GSEC35,FUTIRD,667GSEC35-FUTIRD,13908510000041,NaN,NaN,0,0.0025,1,1000,-1,667GSEC35,2099-03-26T00:00:00,0,0,667GSEC35 26MAR2099,1,1,667GSEC35
BSECD,1055091,1,EURUSD,EURUSD26DECFUT,FUTCUR,EURUSD-FUTCUR,13636301055091,1.18,1.11,20017,0.0001,1,1000,625,,2026-12-29T00:00:00,0,0,EURUSD 29DEC2026,1,1,EURUSD26DECFUT
BSECD,10000045,1,726GSEC33,726GSEC33,FUTIRD,726GSEC33-FUTIRD,13908510000045,NaN,NaN,0,0.0025,1,1000,-1,726GSEC33,2099-03-26T00:00:00,0,0,726GSEC33 26MAR2099,1,1,726GSEC33
BSECD,1054686,1,668GS2040,668GS204026DECFUT,FUTIRD,668GS2040-FUTIRD,13636501054686,99.49,93.69,0,0.0025,1,2000,-1,668GS2040,2026-12-31T00:00:00,0,0,668GS2040 31DEC2026,1,1,668GS204026DECFUT
BSECD,2135805,1,ONMIBOR,ONMIBOR27JUNFUT,FUTIRD,ONMIBOR-FUTIRD,13718102135805,6.23,5.63,0,0.0025,1,41100,-1,ONMIBOR,2027-06-30T00:00:00,0,0,ONMIBOR 30JUN2027,1,1,ONMIBOR27JUNFUT
BSECD,10000014,1,788GSEC30,788GSEC30,FUTIRD,788GSEC30-FUTIRD,13908510000014,NaN,NaN,0,0.0025,1,1000,-1,788GSEC30,2099-03-26T00:00:00,0,0,788GSEC30 26MAR2099,1,1,788GSEC30
BSECD,1081024,1,JPYINR,JPYINR27JUNFUT,FUTCUR,JPYINR-FUTCUR,13717901081024,64.97,58.78,20006,0.0025,1,1000,603,,2027-06-28T00:00:00,0,0,JPYINR 28JUN2027,1,1,JPYINR27JUNFUT
BSECD,1076798,1,636GS2031,636GS203126AUGFUT,FUTIRD,636GS2031-FUTIRD,13623901076798,102.63,96.65,0,0.0025,1,2000,-1,636GS2031,2026-08-27T00:00:00,0,0,636GS2031 27AUG2026,1,1,636GS203126AUGFUT
BSECD,10000047,1,718GSEC33,718GSEC33,FUTIRD,718GSEC33-FUTIRD,13908510000047,NaN,NaN,0,0.0025,1,1000,-1,718GSEC33,2099-03-26T00:00:00,0,0,718GSEC33 26MAR2099,1,1,718GSEC33
BSECD,2129299,1,USDINR,USDINR26807FUT,FUTCUR,USDINR-FUTCUR,13621902129299,98.67,92.92,20011,0.0025,1,1000,600,,2026-08-07T00:00:00,0,0,USDINR 07AUG2026,1,1,USDINR26807FUT
BSECD,1074225,1,GBPUSD,GBPUSD26731FUT,FUTCUR,GBPUSD-FUTCUR,13621201074225,1.37,1.29,20015,0.0001,1,1000,624,,2026-07-31T00:00:00,0,0,GBPUSD 31JUL2026,1,1,GBPUSD26731FUT
BSECD,1071569,1,GBPINR,GBPINR27APRFUT,FUTCUR,GBPINR-FUTCUR,13711801071569,136.07,123.11,20004,0.0025,1,1000,601,,2027-04-28T00:00:00,0,0,GBPINR 28APR2027,1,1,GBPINR27APRFUT
BSECD,1050590,1,USDJPY,USDJPY26NOVFUT,FUTCUR,USDJPY-FUTCUR,13633001050590,166.88,157.15,20009,0.01,1,1000,623,,2026-11-26T00:00:00,0,0,USDJPY 26NOV2026,1,1,USDJPY26NOVFUT
BSECD,1081611,1,USDJPY,USDJPY26911FUT,FUTCUR,USDJPY-FUTCUR,13625401081611,168.39,158.58,20009,0.01,1,1000,623,,2026-09-11T00:00:00,0,0,USDJPY 11SEP2026,1,1,USDJPY26911FUT
BSECD,2133163,1,USDINR,USDINR26904FUT,FUTCUR,USDINR-FUTCUR,13624702133163,99.33,93.55,20011,0.0025,1,1000,600,,2026-09-04T00:00:00,0,0,USDINR 04SEP2026,1,1,USDINR26904FUT
BSECD,1001976,1,EURUSD,EURUSD26O09FUT,FUTCUR,EURUSD-FUTCUR,13628201001976,1.18,1.11,20017,0.0001,1,1000,625,,2026-10-09T00:00:00,0,0,EURUSD 09OCT2026,1,1,EURUSD26O09FUT
BSECD,10000035,1,577GSEC30,577GSEC30,FUTIRD,577GSEC30-FUTIRD,13908510000035,NaN,NaN,0,0.0025,1,1000,-1,577GSEC30,2099-03-26T00:00:00,0,0,577GSEC30 26MAR2099,1,1,577GSEC30
BSECD,1055087,1,USDINR,USDINR26DECFUT,FUTCUR,USDINR-FUTCUR,13636301055087,99.81,93.99,20011,0.0025,1,1000,600,,2026-12-29T00:00:00,0,0,USDINR 29DEC2026,1,1,USDINR26DECFUT
