ExchangeSegment,ExchangeInstrumentId,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentId,PriceBandHigh,PriceBandLow,FreezeQty,TickSize,LotSize,Multiplier,DisplayName,Isin,PriceNumerator,PriceDenominator,DetailedDescription,UnknownFieldOne,UnknownFieldTwo,UnknownFieldThree
BSECM,210788,8,SARTELE,SARTELE-NS,NS,SARTELE-NS,11100100210788,298.6,199.1,0,0.05,500,1,SARTELE,INE0PUC01020,1,1,SAR TELEVENTURE LIMITED,100,-1,-1
BSECM,975961,8,105AFL26,105AFL26-F,F,105AFL26-F,11100100975961,75000,50000,0,0.01,1,1,105AFL26,INE501X07620,1,1,AFL-10.50%-28-8-26-PVT,100,-1,-1
BSECM,729142,8,RL280325,RL280325-F,F,RL280325-F,11100100729142,600000,400000,0,0.01,1,1,RL280325,INE891D14ZR2,1,1,RL-26-06-25-CP,100,-1,-1
BSECM,958945,8,87HDBPERP,87HDBPERP-F,F,87HDBPERP-F,11100100958945,1200000,800000,0,0.01,1,1,87HDBPERP,INE756I08199,1,1,HDB-8.7%-PERPETUAL-PVT,100,-1,-1
BSECM,976689,8,704IIT28,704IIT28-F,F,704IIT28-F,11100100976689,120000,80000,0,0.01,1,1,704IIT28,INE219X07512,1,1,IIT-7.04%-27-09-28-TRUST,100,-1,-1
BSECM,531454,8,POLYLINK,POLYLINK-X,X,POLYLINK-X,11100100531454,34.47,22.99,0,0.01,1,1,POLYLINK,INE323D01020,1,1,POLYLINK POLYMERS (INDIA) LTD.,100,-1,-1
BSECM,939895,8,11IML2027,11IML2027-F,F,11IML2027-F,11100100939895,1140.3,760.2,0,0.01,1,1,11IML2027,INE0BUS07BI6,1,1,IML-11%-7-5-27-NCD,100,-1,-1
BSECM,133581,8,PGEL#,PGEL#-A,A,PGEL#-A,11100100133581,772.75,757.45,0,0.05,1,1,PGEL#,INE457L01029,1,1,PG Electroplast Limited,13,-1,-1
BSECM,939823,8,1003NHF29,1003NHF29-F,F,1003NHF29-F,11100100939823,1162.8,775.2,0,0.01,1,1,1003NHF29,INE530L07897,1,1,NHFL-10.03%-8-10-29-NCD,100,-1,-1
BSECM,976381,8,75855SEI35,75855SEI35-F,F,75855SEI35-F,11100100976381,120000,80000,0,0.01,1,1,75855SEI35,INE0R8O07010,1,1,SEIT-7.5855%-2-2-35-INVITS,100,-1,-1
BSECM,953876,8,920SFL26,920SFL26-F,F,920SFL26-F,11100100953876,1200000,800000,0,0.01,1,1,920SFL26,INE721A07KE1,1,1,SFL-9.20%-22-04-26-PVT,100,-1,-1
BSECM,959881,8,64ONGC31,64ONGC31-F,F,64ONGC31-F,11100100959881,1200000,800000,0,0.01,1,1,64ONGC31,INE213A08024,1,1,ONGC-6.4%-11-4-31-PVT,100,-1,-1
BSECM,974752,8,960QN0326,960QN0326-F,F,960QN0326-F,11100100974752,1200000,800000,0,0.01,1,1,960QN0326,INE0PEP15034,1,1,QN03-9.60%-17-8-26-PTC,100,-1,-1
BSECM,539681,8,DAL,DAL-X,X,DAL-X,11100100539681,52.37,47.39,0,0.01,1,1,DAL,INE874E01012,1,1,dynamic Archistructures Limite,100,-1,-1
BSECM,512477,8,BETXIND,BETXIND-X,X,BETXIND-X,11100100512477,503.85,335.95,0,0.05,1,1,BETXIND,INE765L01017,1,1,BETEX INDIA LTD.,100,-1,-1
BSECM,953285,8,960ECL26,960ECL26-F,F,960ECL26-F,11100100953285,120000,80000,0,0.01,10,1,960ECL26,INE804I07J05,1,1,ECL-9.60%-13-1-26-PVT,100,-1,-1
BSECM,540269,8,SKL,SKL-MT,MT,SKL-MT,11100100540269,11.6,10.5,0,0.01,10000,1,SKL,INE459U01018,1,1,SUPER FINE KNITTERS LIMITED,100,-1,-1
BSECM,938478,8,990SCL26D,990SCL26D-F,F,990SCL26D-F,11100100938478,397.32,264.88,0,0.01,1,1,990SCL26D,INE148I07OB8,1,1,SC-9.90%-23-3-26-NCD,100,-1,-1
BSECM,811000,8,749TN34,749TN34-G,G,749TN34-G,11100100811000,95.7,78.3,0,0.01,1,1,749TN34,IN3120240038,1,1,749TNSDL34,100,-1,-1
BSECM,976087,8,949KIIFB31,949KIIFB31-F,F,949KIIFB31-F,11100100976087,122386.8,81591.2,0,0.01,1,1,949KIIFB31,INE658F08276,1,1,KIIFB-9.49%-8-10-31-PVT,100,-1,-1
BSECM,810978,8,74GJ26,74GJ26-G,G,74GJ26-G,11100100810978,111.26,91.04,0,0.01,1,1,74GJ26,IN1520230146,1,1,740GUJSDL26,100,-1,-1
BSECM,810741,8,709KL36,709KL36-G,G,709KL36-G,11100100810741,110,90,0,0.01,1,1,709KL36,IN2020210059,1,1,709KERSDL36,100,-1,-1
BSECM,975398,8,127SFPL27,127SFPL27-F,F,127SFPL27-F,11100100975398,120000,80000,0,0.01,1,1,127SFPL27,INE551U07266,1,1,SFIS-12.70%-6-12-27-PVT,100,-1,-1
BSECM,975179,8,13SCNL26,13SCNL26-F,F,13SCNL26-F,11100100975179,126000,84000,0,0.01,1,1,13SCNL26,INE836B07790,1,1,SCNL-13%-11-9-26-PVT,100,-1,-1
BSECM,975906,8,925VAJRA27,925VAJRA27-F,F,925VAJRA27-F,11100100975906,6989196.9,4659464.6,0,0.01,1,1,925VAJRA27,INE10VT15014,1,1,VAJRA 12-9.25%-20-10-28-PTC,100,-1,-1
BSECM,800261,8,679GS2029,679GS2029-G,G,679GS2029-G,11100100800261,110,90,0,0.01,1,1,679GS2029,IN0020160118,1,1,679GOI2029,100,-1,-1
BSECM,503671,8,UNIJOLL,UNIJOLL-XT,XT,UNIJOLL-XT,11100100503671,4.77,4.33,0,0.01,1,1,UNIJOLL,INE130N01010,1,1,UNIJOLLY INVESTMENTS CO.LTD.,100,-1,-1
BSECM,974602,8,759NHPCL32,759NHPCL32-F,F,759NHPCL32-F,11100100974602,120000,80000,0,0.01,1,1,759NHPCL32,INE848E08201,1,1,NHPCL-7.59%-20-2-32-PVT,100,-1,-1
BSECM,976442,8,1288RST626,1288RST626-F,F,1288RST626-F,11100100976442,120000,80000,0,0.01,1,1,1288RST626,INE1EGY15025,1,1,RST6-12.88%-23-4-26-PTC,100,-1,-1
BSECM,976506,8,12MFLPERPE,12MFLPERPE-F,F,12MFLPERPE-F,11100100976506,12000000,8000000,0,0.01,1,1,12MFLPERPE,INE549K08525,1,1,MFL-PERPETUAL-PVT,100,-1,-1
BSECM,975499,8,734IIFCL39,734IIFCL39-F,F,734IIFCL39-F,11100100975499,120000,80000,0,0.01,1,1,734IIFCL39,INE787H08097,1,1,IIFCL-7.34%-14-3-39-PVT,100,-1,-1
BSECM,100233,8,KAJARIACER#,KAJARIACER#-A,A,KAJARIACER#-A,11100100100233,1032.55,1012.15,0,0.05,1,1,KAJARIACER#,INE217B01036,1,1,Kajaria Ceramics Limited,100,-1,-1
BSECM,538355,8,NFHXXVI22G,NFHXXVI22G-F,F,NFHXXVI22G-F,11100100538355,11,9,0,0.01,1,1,NFHXXVI22G,INF204KA14C7,1,1,RELIANCE MUTUAL FUND- RELIANCE,100,-1,-1
BSECM,975263,8,840HDBFS33,840HDBFS33-F,F,840HDBFS33-F,11100100975263,128687.44,85791.64,0,0.01,1,1,840HDBFS33,INE756I08256,1,1,HDBFSL-22-12-33-PVT,100,-1,-1
BSECM,538431,8,RFHXXVI23G,RFHXXVI23G-F,F,RFHXXVI23G-F,11100100538431,11,9,0,0.01,1,1,RFHXXVI23G,INF204KB1841,1,1,RELIANCE FIXED HORIZON FUND- X,100,-1,-1
BSECM,543595,8,EPBIO,EPBIO-M,M,EPBIO-M,11100100543595,138.6,113.4,0,0.05,500,1,EPBIO,INE0D2I01014,1,1,EP BIOCOMPOSITES LIMITED,100,-1,-1
