ExchangeSegment,ExchangeInstrumentId,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentId,PriceBandHigh,PriceBandLow,FreezeQty,TickSize,LotSize,Multiplier,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,StrikePrice,OptionType,DisplayName,PriceNumerator,PriceDenominator,DetailedDescription
BSECO,10010015,1,SPOTBSEALMD,SPOTBSEALMD,FUTCOM,SPOTBSEALMD-FUTCOM,14036510010015,NaN,NaN,20,0.1,1,1000,-1,,2050-12-31T00:00:00,0,0,SPOTBSEALMD 31DEC2050,1,1,SPOTBSEALMD
BSECO,10010005,1,SPOTGUARSEED,SPOTGUARSEED,FUTCOM,SPOTGUARSEED-FUTCOM,14036510010005,NaN,NaN,50,0.5,1,100,-1,,2050-12-31T00:00:00,0,0,SPOTGUARSEED 31DEC2050,1,1,SPOTGUARSEED
BSECO,10010016,1,SPOTSUFIBLTF,SPOTSUFIBLTF,FUTCOM,SPOTSUFIBLTF-FUTCOM,14036510010016,NaN,NaN,500,10,1,10,-1,,2050-12-31T00:00:00,0,0,SPOTSUFIBLTF 31DEC2050,1,1,SPOTSUFIBLTF
BSECO,1400001,1,GOLDM,GOLDMAPR25,FUTCOM,GOLDM-FUTCOM,14509401400001,91069,80761,100,1,1,10,14100100000812,,2025-04-04T00:00:00,0,0,GOLDM 04APR2025,1,1,GOLDMAPR25
BSECO,1400020,1,SUFIBLT,SUFIBLTJUN25,FUTCOM,SUFIBLT-FUTCOM,14518101400020,44330,39330,500,10,1,10,14100100000825,,2025-06-30T00:00:00,0,0,SUFIBLT 30JUN2025,1,1,SUFIBLTJUN25
BSECO,10010002,1,SPOTOMCRUDE,SPOTOMCRUDE,FUTCOM,SPOTOMCRUDE-FUTCOM,14036510010002,NaN,NaN,1,1,1,1,-1,,2050-12-31T00:00:00,0,0,SPOTOMCRUDE 31DEC2050,1,1,SPOTOMCRUDE
BSECO,1400009,1,SILVER,SILVERMAR25,FUTCOM,SILVER-FUTCOM,14506401400009,102190,90622,20,1,1,30,14100100000802,,2025-03-05T00:00:00,0,0,SILVER 05MAR2025,1,1,SILVERMAR25
BSECO,10010004,1,SPOTGUARGUM,SPOTGUARGUM,FUTCOM,SPOTGUARGUM-FUTCOM,14036510010004,NaN,NaN,50,1,1,50,-1,,2050-12-31T00:00:00,0,0,SPOTGUARGUM 31DEC2050,1,1,SPOTGUARGUM
BSECO,1400006,1,BSEALMOND,BSEALMONDFEB25,FUTCOM,BSEALMOND-FUTCOM,14505101400006,479.8,443,20,0.1,1,1000,14100100000824,,2025-02-20T00:00:00,0,0,BSEALMOND 20FEB2025,1,1,BSEALMONDFEB25
BSECO,1402218,1,BRCRUDE,BRCRUDEMAR25,FUTCOM,BRCRUDE-FUTCOM,14509001402218,7057,6259,100,1,1,100,14100100000820,,2025-03-31T00:00:00,0,0,BRCRUDE 31MAR2025,1,1,BRCRUDEMAR25
BSECO,1400014,1,GOLDM,GOLDMMAR25,FUTCOM,GOLDM-FUTCOM,14506401400014,90862,80576,100,1,1,10,14100100000812,,2025-03-05T00:00:00,0,0,GOLDM 05MAR2025,1,1,GOLDMMAR25
BSECO,10010012,1,SPOTZINC,SPOTZINC,FUTCOM,SPOTZINC-FUTCOM,14036510010012,NaN,NaN,20,0.05,1,5,-1,,2050-12-31T00:00:00,0,0,SPOTZINC 31DEC2050,1,1,SPOTZINC
BSECO,10010011,1,SPOTALUMNUM,SPOTALUMNUM,FUTCOM,SPOTALUMNUM-FUTCOM,14036510010011,NaN,NaN,20,0.05,1,5,-1,,2050-12-31T00:00:00,0,0,SPOTALUMNUM 31DEC2050,1,1,SPOTALUMNUM
BSECO,1400007,1,WTICRUDE,WTICRUDEMAY25,FUTCOM,WTICRUDE-FUTCOM,14513901400007,6756,5992,100,1,1,100,14100100000828,,2025-05-19T00:00:00,0,0,WTICRUDE 19MAY2025,1,1,WTICRUDEMAY25
BSECO,1400041,1,WTICRUDE,WTICRUDEJUN25,FUTCOM,WTICRUDE-FUTCOM,14517001400041,6793,6025,100,1,1,100,14100100000828,,2025-06-19T00:00:00,0,0,WTICRUDE 19JUN2025,1,1,WTICRUDEJUN25
BSECO,10010014,1,SPOTCOTON29,SPOTCOTON29,FUTCOM,SPOTCOTON29-FUTCOM,14036510010014,NaN,NaN,25,10,1,25,-1,,2050-12-31T00:00:00,0,0,SPOTCOTON29 31DEC2050,1,1,SPOTCOTON29
BSECO,10010013,1,SPOTBRCRUDE,SPOTBRCRUDE,FUTCOM,SPOTBRCRUDE-FUTCOM,14036510010013,NaN,NaN,1,1,1,100,-1,,2050-12-31T00:00:00,0,0,SPOTBRCRUDE 31DEC2050,1,1,SPOTBRCRUDE
BSECO,1400046,1,BRCRUDE,BRCRUDEFEB25,FUTCOM,BRCRUDE-FUTCOM,14505901400046,7019,6225,100,1,1,100,14100100000820,,2025-02-28T00:00:00,0,0,BRCRUDE 28FEB2025,1,1,BRCRUDEFEB25
BSECO,1400016,1,SILVERKG,SILVERKGAPR25,FUTCOM,SILVERKG-FUTCOM,14512001400016,104443,92621,600,1,1,1,14100100000813,,2025-04-30T00:00:00,0,0,SILVERKG 30APR2025,1,1,SILVERKGAPR25
BSECO,10010010,1,SPOTSOYBEAN,SPOTSOYBEAN,FUTCOM,SPOTSOYBEAN-FUTCOM,14035410010010,NaN,NaN,50,1,1,100,-1,,2050-12-20T00:00:00,0,0,SPOTSOYBEAN 20DEC2050,1,1,SPOTSOYBEAN
BSECO,1400019,1,SUFIBLT,SUFIBLTMAY25,FUTCOM,SUFIBLT-FUTCOM,14515001400019,44090,39110,500,10,1,10,14100100000825,,2025-05-30T00:00:00,0,0,SUFIBLT 30MAY2025,1,1,SUFIBLTMAY25
BSECO,1402217,1,SUFIBLT,SUFIBLTMAR25,FUTCOM,SUFIBLT-FUTCOM,14509001402217,43620,38700,500,10,1,10,14100100000825,,2025-03-31T00:00:00,0,0,SUFIBLT 31MAR2025,1,1,SUFIBLTMAR25
BSECO,1400050,1,GOLDM,GOLDMMAY25,FUTCOM,GOLDM-FUTCOM,14512501400050,91494,81138,100,1,1,10,14100100000812,,2025-05-05T00:00:00,0,0,GOLDM 05MAY2025,1,1,GOLDMMAY25
BSECO,1400010,1,SILVERM,SILVERMMAR25,FUTCOM,SILVERM-FUTCOM,14509001400010,103887,92127,120,1,1,5,14100100000814,,2025-03-31T00:00:00,0,0,SILVERM 31MAR2025,1,1,SILVERMMAR25
BSECO,1400042,1,SILVERKG,SILVERKGMAY25,FUTCOM,SILVERKG-FUTCOM,14515001400042,105003,93117,600,1,1,1,14100100000813,,2025-05-30T00:00:00,0,0,SILVERKG 30MAY2025,1,1,SILVERKGMAY25
BSECO,1400015,1,SILVERKG,SILVERKGMAR25,FUTCOM,SILVERKG-FUTCOM,14509001400015,103887,92127,600,1,1,1,14100100000813,,2025-03-31T00:00:00,0,0,SILVERKG 31MAR2025,1,1,SILVERKGMAR25
BSECO,10010003,1,SPOTCOPPER,SPOTCOPPER,FUTCOM,SPOTCOPPER-FUTCOM,14036510010003,NaN,NaN,1,1,1,1,-1,,2050-12-31T00:00:00,0,0,SPOTCOPPER 31DEC2050,1,1,SPOTCOPPER
BSECO,10010017,1,SPOTCOTONJ34,SPOTCOTTONJ34,FUTCOM,SPOTCOTONJ34-FUTCOM,14036510010017,NaN,NaN,25,10,1,25,-1,,2050-12-31T00:00:00,0,0,SPOTCOTONJ34 31DEC2050,1,1,SPOTCOTTONJ34
BSECO,1400098,1,BSEALMOND,BSEALMONDMAY25,FUTCOM,BSEALMOND-FUTCOM,14514001400098,487.5,450.1,20,0.1,1,1000,14100100000824,,2025-05-20T00:00:00,0,0,BSEALMOND 20MAY2025,1,1,BSEALMONDMAY25
BSECO,10010001,1,SPOTSILVER,SPOTSILVER,FUTCOM,SPOTSILVER-FUTCOM,14033910010001,NaN,NaN,20,1,1,30,-1,,2050-12-05T00:00:00,0,0,SPOTSILVER 05DEC2050,1,1,SPOTSILVER
BSECO,1400008,1,GOLD,GOLDAPR25,FUTCOM,GOLD-FUTCOM,14509401400008,91064,80756,10,1,1,100,14100100000801,,2025-04-04T00:00:00,0,0,GOLD 04APR2025,1,1,GOLDAPR25
BSECO,1400013,1,GOLD,GOLDJUN25,FUTCOM,GOLD-FUTCOM,14515601400013,91921,81515,10,1,1,100,14100100000801,,2025-06-05T00:00:00,0,0,GOLD 05JUN2025,1,1,GOLDJUN25
BSECO,1400044,1,GOLD,GOLDMAY25,FUTCOM,GOLD-FUTCOM,14512501400044,92882,82368,10,1,1,100,14100100000801,,2025-05-05T00:00:00,0,0,GOLD 05MAY2025,1,1,GOLDMAY25
BSECO,1400031,1,SUFIBLT,SUFIBLTFEB25,FUTCOM,SUFIBLT-FUTCOM,14505901400031,43380,38480,500,10,1,10,14100100000825,,2025-02-28T00:00:00,0,0,SUFIBLT 28FEB2025,1,1,SUFIBLTFEB25
BSECO,1400012,1,SUFIBLT,SUFIBLTAPR25,FUTCOM,SUFIBLT-FUTCOM,14512001400012,43860,38900,500,10,1,10,14100100000825,,2025-04-30T00:00:00,0,0,SUFIBLT 30APR2025,1,1,SUFIBLTAPR25
BSECO,1400011,1,SILVERM,SILVERMMAY25,FUTCOM,SILVERM-FUTCOM,14515001400011,105003,93117,120,1,1,5,14100100000814,,2025-05-30T00:00:00,0,0,SILVERM 30MAY2025,1,1,SILVERMMAY25
BSECO,1400002,1,WTICRUDE,WTICRUDEJUL25,FUTCOM,WTICRUDE-FUTCOM,14519901400002,6827,6055,100,1,1,100,14100100000828,,2025-07-18T00:00:00,0,0,WTICRUDE 18JUL2025,1,1,WTICRUDEJUL25
BSECO,1400017,1,BRCRUDE,BRCRUDEAPR25,FUTCOM,BRCRUDE-FUTCOM,14512001400017,7095,6293,100,1,1,100,14100100000820,,2025-04-30T00:00:00,0,0,BRCRUDE 30APR2025,1,1,BRCRUDEAPR25
BSECO,1402211,1,SILVERKG,SILVERKGFEB25,FUTCOM,SILVERKG-FUTCOM,14505901402211,103315,91619,600,1,1,1,14100100000813,,2025-02-28T00:00:00,0,0,SILVERKG 28FEB2025,1,1,SILVERKGFEB25
BSECO,1400026,1,BRCRUDE,BRCRUDEMAY25,FUTCOM,BRCRUDE-FUTCOM,14515001400026,7133,6327,100,1,1,100,14100100000820,,2025-05-30T00:00:00,0,0,BRCRUDE 30MAY2025,1,1,BRCRUDEMAY25
BSECO,1400024,1,SILVER,SILVERAPR25,FUTCOM,SILVER-FUTCOM,14509401400024,103961,92193,20,1,1,30,14100100000802,,2025-04-04T00:00:00,0,0,SILVER 04APR2025,1,1,SILVERAPR25
BSECO,1402210,1,SILVERM,SILVERMFEB25,FUTCOM,SILVERM-FUTCOM,14505901402210,103315,91619,120,1,1,5,14100100000814,,2025-02-28T00:00:00,0,0,SILVERM 28FEB2025,1,1,SILVERMFEB25
BSECO,1400038,1,BSEALMOND,BSEALMONDMAR25,FUTCOM,BSEALMOND-FUTCOM,14507901400038,482.2,445.2,20,0.1,1,1000,14100100000824,,2025-03-20T00:00:00,0,0,BSEALMOND 20MAR2025,1,1,BSEALMONDMAR25
BSECO,1400035,1,WTICRUDE,WTICRUDEAPR25,FUTCOM,WTICRUDE-FUTCOM,14510701400035,6717,5957,100,1,1,100,14100100000828,,2025-04-17T00:00:00,0,0,WTICRUDE 17APR2025,1,1,WTICRUDEAPR25
BSECO,10010008,1,SPOTCHANA,SPOTCHANA,FUTCOM,SPOTCHANA-FUTCOM,14035410010008,NaN,NaN,25,1,1,100,-1,,2050-12-20T00:00:00,0,0,SPOTCHANA 20DEC2050,1,1,SPOTCHANA
BSECO,10010009,1,SPOTCASTSEED,SPOTCASTSEED,FUTCOM,SPOTCASTSEED-FUTCOM,14035410010009,NaN,NaN,50,1,1,100,-1,,2050-12-20T00:00:00,0,0,SPOTCASTSEED 20DEC2050,1,1,SPOTCASTSEED
BSECO,1400005,1,WTICRUDE,WTICRUDEMAR25,FUTCOM,WTICRUDE-FUTCOM,14507801400005,6683,5927,100,1,1,100,14100100000828,,2025-03-19T00:00:00,0,0,WTICRUDE 19MAR2025,1,1,WTICRUDEMAR25
BSECO,1400045,1,SILVER,SILVERMAY25,FUTCOM,SILVER-FUTCOM,14512501400045,104103,92319,20,1,1,30,14100100000802,,2025-05-05T00:00:00,0,0,SILVER 05MAY2025,1,1,SILVERMAY25
BSECO,1400039,1,BSEALMOND,BSEALMONDAPR25,FUTCOM,BSEALMOND-FUTCOM,14510701400039,484.7,447.5,20,0.1,1,1000,14100100000824,,2025-04-17T00:00:00,0,0,BSEALMOND 17APR2025,1,1,BSEALMONDAPR25
BSECO,1400022,1,SILVER,SILVERJUN25,FUTCOM,SILVER-FUTCOM,14515601400022,105115,93217,20,1,1,30,14100100000802,,2025-06-05T00:00:00,0,0,SILVER 05JUN2025,1,1,SILVERJUN25
BSECO,10010000,1,SPOTGOLD,SPOTGOLD,FUTCOM,SPOTGOLD-FUTCOM,14015610010000,NaN,NaN,10,1,1,100,-1,,2050-06-05T00:00:00,0,0,SPOTGOLD 05JUN2050,1,1,SPOTGOLD
BSECO,1400003,1,SILVERM,SILVERMAPR25,FUTCOM,SILVERM-FUTCOM,14512001400003,104443,92621,120,1,1,5,14100100000814,,2025-04-30T00:00:00,0,0,SILVERM 30APR2025,1,1,SILVERMAPR25
BSECO,1400032,1,BRCRUDE,BRCRUDEJUN25,FUTCOM,BRCRUDE-FUTCOM,14518101400032,7173,6361,100,1,1,100,14100100000820,,2025-06-30T00:00:00,0,0,BRCRUDE 30JUN2025,1,1,BRCRUDEJUN25
BSECO,10010007,1,SPOTTURMERIC,SPOTTURMERIC,FUTCOM,SPOTTURMERIC-FUTCOM,14036510010007,NaN,NaN,48,1,1,10,-1,,2050-12-31T00:00:00,0,0,SPOTTURMERIC 31DEC2050,1,1,SPOTTURMERIC
BSECO,10010018,1,SPOTWTICRUDE,SPOTWTICRUDE,FUTCOM,SPOTWTICRUDE-FUTCOM,14036510010018,NaN,NaN,1,1,1,100,-1,,2050-12-31T00:00:00,0,0,SPOTWTICRUDE 31DEC2050,1,1,SPOTWTICRUDE
BSECO,1400018,1,GOLD,GOLDMAR25,FUTCOM,GOLD-FUTCOM,14506401400018,91879,81479,10,1,1,100,14100100000801,,2025-03-05T00:00:00,0,0,GOLD 05MAR2025,1,1,GOLDMAR25
