ExchangeSegment,ExchangeInstrumentId,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentId,PriceBandHigh,PriceBandLow,FreezeQty,TickSize,LotSize,Multiplier,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,StrikePrice,OptionType,DisplayName,PriceNumerator,PriceDenominator,DetailedDescription
BSEFO,851433,2,IREDA,IREDA26JUL117.5CE,SO,IREDA-SO,12621100851433,33.35,0.05,100000000,0.05,4525,1,11100100544026,IREDA,2026-07-30T00:00:00,117.5,3,IREDA 30JUL2026 CE 117.5,1,1,IREDA26JUL117.5CE
BSEFO,1174282,2,PETRONET,PETRONET26JUL257.5PE,SO,PETRONET-SO,12621101174282,23.65,0.05,120000,0.05,1900,1,11100100532522,PETRONET,2026-07-30T00:00:00,257.5,4,PETRONET 30JUL2026 PE 257.5,1,1,PETRONET26JUL257.5PE
BSEFO,1157918,2,PFC,PFC26JUL500PE,SO,PFC-SO,12621101157918,100.65,37,124000,0.05,1300,1,11100100532810,PFC,2026-07-30T00:00:00,500,4,PFC 30JUL2026 PE 500,1,1,PFC26JUL500PE
BSEFO,1154339,2,MPHASIS,MPHASIS26JUL2100CE,SO,MPHASIS-SO,12621101154339,311.6,39.1,11000,0.05,275,1,11100100526299,MPHASIS,2026-07-30T00:00:00,2100,3,MPHASIS 30JUL2026 CE 2100,1,1,MPHASIS26JUL2100CE
BSEFO,849831,2,TATACONSUM,TATACONSUM26SEP1040CE,SO,TATACONSUM-SO,12626700849831,150.2,48.9,36000,0.05,550,1,11100100500800,TATACONSUM,2026-09-24T00:00:00,1040,3,TATACONSUM 24SEP2026 CE 1040,1,1,TATACONSUM26SEP1040CE
BSEFO,1152188,2,LT,LT26JUL4200PE,SO,LT-SO,12621101152188,357.4,30.1,12000,0.05,175,1,11100100500510,LT,2026-07-30T00:00:00,4200,4,LT 30JUL2026 PE 4200,1,1,LT26JUL4200PE
BSEFO,830600,2,TATACONSUM,TATACONSUM26AUG1160PE,SO,TATACONSUM-SO,12623900830600,106.85,28.35,36000,0.05,550,1,11100100500800,TATACONSUM,2026-08-27T00:00:00,1160,4,TATACONSUM 27AUG2026 PE 1160,1,1,TATACONSUM26AUG1160PE
BSEFO,828301,2,JINDALSTEL,JINDALSTEL26AUG1230CE,SO,JINDALSTEL-SO,12623900828301,18.85,0.05,37500,0.05,625,1,11100100532286,JINDALSTEL,2026-08-27T00:00:00,1230,3,JINDALSTEL 27AUG2026 CE 1230,1,1,JINDALSTEL26AUG1230CE
BSEFO,1158838,2,YESBANK,YESBANK26JUL30PE,SO,YESBANK-SO,12621101158838,25.6,0.05,100000000,0.05,31100,1,11100100532648,YESBANK,2026-07-30T00:00:00,30,4,YESBANK 30JUL2026 PE 30,1,1,YESBANK26JUL30PE
BSEFO,825185,2,ASIANPAINT,ASIANPAINT26AUG2680PE,SO,ASIANPAINT-SO,12623900825185,123.05,6.7,8000,0.05,250,1,11100100500820,ASIANPAINT,2026-08-27T00:00:00,2680,4,ASIANPAINT 27AUG2026 PE 2680,1,1,ASIANPAINT26AUG2680PE
