ExchangeSegment,ExchangeInstrumentId,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentId,PriceBandHigh,PriceBandLow,FreezeQty,TickSize,LotSize,Multiplier,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,StrikePrice,OptionType,DisplayName,PriceNumerator,PriceDenominator,DetailedDescription
MSEFO,3832062,1,SX40,SX4031MAR2026FUT,FUTIDX,SX40-FUTIDX,42609003832062,NaN,NaN,400,0.05,1,25,-1,1121,2026-03-31T23:59:59,0,0,SX40 31MAR2026,1,1,SX4031MAR2026FUT
MSEFO,102858,16,JSWENERGY,JSWENERGY-UL,UL,JSWENERGY-UL,42100100102858,NaN,NaN,0,0.05,1,1,-1,,,0,0,JSWENERGY,1,1,JSWENERGYUL
MSEFO,102713,16,PIDILITIND,PIDILITIND-UL,UL,PIDILITIND-UL,42100100102713,NaN,NaN,0,0.05,1,1,-1,,,0,0,PIDILITIND,1,1,PIDILITINDUL
MSEFO,110285,16,IREDA,IREDA-UL,UL,IREDA-UL,42100100110285,NaN,NaN,0,0.05,1,1,-1,,,0,0,IREDA,1,1,IREDAUL
MSEFO,101869,16,BAJAJFINSV,BAJAJFINSV-UL,UL,BAJAJFINSV-UL,42100100101869,NaN,NaN,0,0.05,1,1,-1,,,0,0,BAJAJFINSV,1,1,BAJAJFINSVUL
MSEFO,101940,16,DALMIABHA,DALMIABHA-UL,UL,DALMIABHA-UL,42100100101940,NaN,NaN,0,0.05,1,1,-1,,,0,0,DALMIABHA,1,1,DALMIABHAUL
MSEFO,102445,16,COFORGE,COFORGE-UL,UL,COFORGE-UL,42100100102445,NaN,NaN,0,0.05,1,1,-1,,,0,0,COFORGE,1,1,COFORGEUL
MSEFO,102326,16,TITAGARH,TITAGARH-UL,UL,TITAGARH-UL,42100100102326,NaN,NaN,0,0.05,1,1,-1,,,0,0,TITAGARH,1,1,TITAGARHUL
MSEFO,101831,16,ATUL,ATUL-UL,UL,ATUL-UL,42100100101831,NaN,NaN,0,0.05,1,1,-1,,,0,0,ATUL,1,1,ATULUL
MSEFO,101996,16,DLF,DLF-UL,UL,DLF-UL,42100100101996,NaN,NaN,0,0.05,1,1,-1,,,0,0,DLF,1,1,DLFUL
MSEFO,102870,16,JUBLFOOD,JUBLFOOD-UL,UL,JUBLFOOD-UL,42100100102870,NaN,NaN,0,0.05,1,1,-1,,,0,0,JUBLFOOD,1,1,JUBLFOODUL
MSEFO,102357,16,NAVINFLUOR,NAVINFLUOR-UL,UL,NAVINFLUOR-UL,42100100102357,NaN,NaN,0,0.05,1,1,-1,,,0,0,NAVINFLUOR,1,1,NAVINFLUORUL
MSEFO,101799,16,BPCL,BPCL-UL,UL,BPCL-UL,42100100101799,NaN,NaN,0,0.05,1,1,-1,,,0,0,BPCL,1,1,BPCLUL
MSEFO,102217,16,TORNTPHARM,TORNTPHARM-UL,UL,TORNTPHARM-UL,42100100102217,NaN,NaN,0,0.05,1,1,-1,,,0,0,TORNTPHARM,1,1,TORNTPHARMUL
MSEFO,108449,16,LAURUSLABS,LAURUSLABS-UL,UL,LAURUSLABS-UL,42100100108449,NaN,NaN,0,0.05,1,1,-1,,,0,0,LAURUSLABS,1,1,LAURUSLABSUL
MSEFO,101755,16,BIOCON,BIOCON-UL,UL,BIOCON-UL,42100100101755,NaN,NaN,0,0.05,1,1,-1,,,0,0,BIOCON,1,1,BIOCONUL
MSEFO,102818,16,WELCORP,WELCORP-UL,UL,WELCORP-UL,42100100102818,NaN,NaN,0,0.05,1,1,-1,,,0,0,WELCORP,1,1,WELCORPUL
MSEFO,108401,16,JOYREALTY,JOYREALTY-UL,UL,JOYREALTY-UL,42100100108401,NaN,NaN,0,0.05,1,1,-1,,,0,0,JOYREALTY,1,1,JOYREALTYUL
MSEFO,110390,16,DELHIVERY,DELHIVERY-UL,UL,DELHIVERY-UL,42100100110390,NaN,NaN,0,0.05,1,1,-1,,,0,0,DELHIVERY,1,1,DELHIVERYUL
MSEFO,101821,16,BRITANNIA,BRITANNIA-UL,UL,BRITANNIA-UL,42100100101821,NaN,NaN,0,0.05,1,1,-1,,,0,0,BRITANNIA,1,1,BRITANNIAUL
MSEFO,101603,16,ABB,ABB-UL,UL,ABB-UL,42100100101603,NaN,NaN,0,0.05,1,1,-1,,,0,0,ABB,1,1,ABBUL
MSEFO,102751,16,IVRCLINFRA,IVRCLINFRA-UL,UL,IVRCLINFRA-UL,42100100102751,NaN,NaN,0,0.05,1,1,-1,,,0,0,IVRCLINFRA,1,1,IVRCLINFRAUL
MSEFO,102523,16,IBREALEST,IBREALEST-UL,UL,IBREALEST-UL,42100100102523,NaN,NaN,0,0.05,1,1,-1,,,0,0,IBREALEST,1,1,IBREALESTUL
