ExchangeSegment,ExchangeInstrumentId,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentId,PriceBandHigh,PriceBandLow,FreezeQty,TickSize,LotSize,Multiplier,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,StrikePrice,OptionType,DisplayName,PriceNumerator,PriceDenominator,DetailedDescription
NCDEX,77446,1,YELLOWP,YELLOWP19DEC2025,FUTCOM,YELLOWP-FUTCOM,21535300077446,3596,3320,500,1,5,10,21100100073347,,2025-12-19T00:00:00,0,0,YELLOWP 19DEC2025,1,1,YELLOWP19DEC2025
NCDEX,77445,1,SUNOIL,SUNOIL28NOV2025,FUTCOM,SUNOIL-FUTCOM,21533200077445,1417.5,1308.5,500,0.1,5,100,21100100070636,,2025-11-28T00:00:00,0,0,SUNOIL 28NOV2025,1,1,SUNOIL28NOV2025
NCDEX,75697,1,TMCFGRNZM,TMCFGRNZM20OCT2025,FUTCOM,TMCFGRNZM-FUTCOM,21529300075697,12914,11922,250,2,5,10,21100100000058,,2025-10-20T00:00:00,0,0,TMCFGRNZM 20OCT2025,1,1,TMCFGRNZM20OCT2025
NCDEX,77049,1,GROUNDNUT,GROUNDNUT20OCT2025,FUTCOM,GROUNDNUT-FUTCOM,21529300077049,5137,4839,500,1,5,10,21100100065281,,2025-10-20T00:00:00,0,0,GROUNDNUT 20OCT2025,1,1,GROUNDNUT20OCT2025
NCDEX,77045,1,COCUDAKL,COCUDAKL20JAN2026,FUTCOM,COCUDAKL-FUTCOM,21602000077045,3037,2805,500,1,10,10,21100100000393,,2026-01-20T00:00:00,0,0,COCUDAKL 20JAN2026,1,1,COCUDAKL20JAN2026
NCDEX,77809,1,CASTOROIL,CASTOROIL20JAN2026,FUTCOM,CASTOROIL-FUTCOM,21602000077809,1402,1295,200,0.5,2,100,21100100054667,,2026-01-20T00:00:00,0,0,CASTOROIL 20JAN2026,1,1,CASTOROIL20JAN2026
NCDEX,73371,1,KAPAS,KAPAS28NOV2025,FUTCOM,KAPAS-FUTCOM,21533200073371,1591,1469,50,0.5,1,200,21100100030050,,2025-11-28T00:00:00,0,0,KAPAS 28NOV2025,1,1,KAPAS28NOV2025
NCDEX,77043,1,CASTOR,CASTOR20NOV2025,FUTCOM,CASTOR-FUTCOM,21532400077043,6794,6272,500,1,5,10,21100100028124,,2025-11-20T00:00:00,0,0,CASTOR 20NOV2025,1,1,CASTOR20NOV2025
NCDEX,76184,1,GUARGUM5,GUARGUM520NOV2025,FUTCOM,GUARGUM5-FUTCOM,21532400076184,9401,8679,250,1,5,10,21100100000537,,2025-11-20T00:00:00,0,0,GUARGUM5 20NOV2025,1,1,GUARGUM520NOV2025
NCDEX,77429,1,BAJRA,BAJRA19DEC2025,FUTCOM,BAJRA-FUTCOM,21535300077429,2477,2287,500,1,10,10,21100100000496,,2025-12-19T00:00:00,0,0,BAJRA 19DEC2025,1,1,BAJRA19DEC2025
NCDEX,77442,1,MAIZE,MAIZE19DEC2025,FUTCOM,MAIZE-FUTCOM,21535300077442,2355,2175,500,1,10,10,21100100036639,,2025-12-19T00:00:00,0,0,MAIZE 19DEC2025,1,1,MAIZE19DEC2025
