ExchangeSegment,ExchangeInstrumentId,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentId,PriceBandHigh,PriceBandLow,FreezeQty,TickSize,LotSize,Multiplier,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,StrikePrice,OptionType,DisplayName,PriceNumerator,PriceDenominator,DetailedDescription
NSECD,812972,4,EURINR,EURINR26MAY26JUNFUT,FUTCUR,EURINR-FUTCUR,3100100812972,2.7975,-2.7975,10001,0.0025,1,1000,-1,,2026-05-26T14:30:00,0,0,EURINR 26MAY25JUN SPD,1,1,EURINR26MAY26JUNFUT
NSECD,3952134,4,JPYINR,JPYINR26JUN26JUNFUT,FUTCUR,JPYINR-FUTCUR,3100103952134,1.52,-1.52,10001,0.0025,1,1000,-1,,2026-06-12T14:30:00,0,0,JPYINR 12JUN19JUN SPD,1,1,JPYINR26JUN26JUNFUT
NSECD,454148,4,USDINR,USDINR26SEP26OCTFUT,FUTCUR,USDINR-FUTCUR,3100100454148,2.4175,-2.4175,10001,0.0025,1,1000,-1,,2026-09-28T14:30:00,0,0,USDINR 28SEP28OCT SPD,1,1,USDINR26SEP26OCTFUT
NSECD,284048,4,668GS2040,668GS204026MAY26JULFUT,FUTIRC,668GS2040-FUTIRC,3100100284048,0.94,-0.94,1251,0.0025,1,2000,-1,,2026-05-27T14:30:00,0,0,668GS2040 27MAY30JUL SPD,1,1,668GS204026MAY26JULFUT
NSECD,815168,4,GBPINR,GBPINR26MAY26AUGFUT,FUTCUR,GBPINR-FUTCUR,3100100815168,3.2075,-3.2075,10001,0.0025,1,1000,-1,,2026-05-26T14:30:00,0,0,GBPINR 26MAY27AUG SPD,1,1,GBPINR26MAY26AUGFUT
NSECD,3187784,4,EURINR,EURINR26MAY26JUNFUT,FUTCUR,EURINR-FUTCUR,3100103187784,2.7925,-2.7925,10001,0.0025,1,1000,-1,,2026-05-29T14:30:00,0,0,EURINR 29MAY12JUN SPD,1,1,EURINR26MAY26JUNFUT
NSECD,323661,4,JPYINR,JPYINR26JUL26AUGFUT,FUTCUR,JPYINR-FUTCUR,3100100323661,1.5275,-1.5275,10001,0.0025,1,1000,-1,,2026-07-29T14:30:00,0,0,JPYINR 29JUL27AUG SPD,1,1,JPYINR26JUL26AUGFUT
NSECD,3952391,4,USDINR,USDINR26JUN26JUNFUT,FUTCUR,USDINR-FUTCUR,3100103952391,2.4025,-2.4025,10001,0.0025,1,1000,-1,,2026-06-12T14:30:00,0,0,USDINR 12JUN19JUN SPD,1,1,USDINR26JUN26JUNFUT
NSECD,324495,4,648GS2035,648GS203526JUN26JULFUT,FUTIRC,648GS2035-FUTIRC,3100100324495,0.96,-0.96,1251,0.0025,1,2000,-1,,2026-06-25T14:30:00,0,0,648GS2035 25JUN30JUL SPD,1,1,648GS203526JUN26JULFUT
NSECD,305994,4,GBPUSD,GBPUSD26JUL26AUGFUT,FUTCUR,GBPUSD-FUTCUR,3100100305994,0.0334,-0.0334,10001,0.0001,1,1000,-1,,2026-07-29T14:30:00,0,0,GBPUSD 29JUL27AUG SPD,1,1,GBPUSD26JUL26AUGFUT
NSECD,1796793,4,USDINR,USDINR26MAY26JUNFUT,FUTCUR,USDINR-FUTCUR,3100101796793,2.3975,-2.3975,10001,0.0025,1,1000,-1,,2026-05-22T14:30:00,0,0,USDINR 22MAY05JUN SPD,1,1,USDINR26MAY26JUNFUT
NSECD,3176630,4,JPYINR,JPYINR26MAY26JUNFUT,FUTCUR,JPYINR-FUTCUR,3100103176630,1.515,-1.515,10001,0.0025,1,1000,-1,,2026-05-29T14:30:00,0,0,JPYINR 29MAY05JUN SPD,1,1,JPYINR26MAY26JUNFUT
NSECD,1691140,4,USDINR,USDINR26JUN26OCTFUT,FUTCUR,USDINR-FUTCUR,3100101691140,2.4025,-2.4025,10001,0.0025,1,1000,-1,,2026-06-25T14:30:00,0,0,USDINR 25JUN28OCT SPD,1,1,USDINR26JUN26OCTFUT
NSECD,1809739,4,USDINR,USDINR26MAY26JUNFUT,FUTCUR,USDINR-FUTCUR,3100101809739,2.3975,-2.3975,10001,0.0025,1,1000,-1,,2026-05-22T14:30:00,0,0,USDINR 22MAY12JUN SPD,1,1,USDINR26MAY26JUNFUT
NSECD,284819,4,679GS2034,679GS203426MAY26JULFUT,FUTIRC,679GS2034-FUTIRC,3100100284819,0.985,-0.985,1251,0.0025,1,2000,-1,,2026-05-27T14:30:00,0,0,679GS2034 27MAY30JUL SPD,1,1,679GS203426MAY26JULFUT
NSECD,1690176,4,GBPINR,GBPINR26JUN26AUGFUT,FUTCUR,GBPINR-FUTCUR,3100101690176,3.2175,-3.2175,10001,0.0025,1,1000,-1,,2026-06-25T14:30:00,0,0,GBPINR 25JUN27AUG SPD,1,1,GBPINR26JUN26AUGFUT
NSECD,303157,4,718GS2037,718GS203726MAY26JUNFUT,FUTIRC,718GS2037-FUTIRC,3100100303157,1.0025,-1.0025,1251,0.0025,1,2000,-1,,2026-05-27T14:30:00,0,0,718GS2037 27MAY25JUN SPD,1,1,718GS203726MAY26JUNFUT
NSECD,821671,4,GBPUSD,GBPUSD26MAY26JULFUT,FUTCUR,GBPUSD-FUTCUR,3100100821671,0.0334,-0.0334,10001,0.0001,1,1000,-1,,2026-05-26T14:30:00,0,0,GBPUSD 26MAY29JUL SPD,1,1,GBPUSD26MAY26JULFUT
NSECD,1762484,4,EURINR,EURINR26MAY26JUNFUT,FUTCUR,EURINR-FUTCUR,3100101762484,2.79,-2.79,10001,0.0025,1,1000,-1,,2026-05-22T14:30:00,0,0,EURINR 22MAY05JUN SPD,1,1,EURINR26MAY26JUNFUT
NSECD,1690442,4,GBPUSD,GBPUSD26JUN26AUGFUT,FUTCUR,GBPUSD-FUTCUR,3100101690442,0.0334,-0.0334,10001,0.0001,1,1000,-1,,2026-06-25T14:30:00,0,0,GBPUSD 25JUN27AUG SPD,1,1,GBPUSD26JUN26AUGFUT
NSECD,1797481,4,GBPINR,GBPINR26MAY26MAYFUT,FUTCUR,GBPINR-FUTCUR,3100101797481,3.205,-3.205,10001,0.0025,1,1000,-1,,2026-05-22T14:30:00,0,0,GBPINR 22MAY29MAY SPD,1,1,GBPINR26MAY26MAYFUT
NSECD,325733,4,USDJPY,USDJPY26JUL26AUGFUT,FUTCUR,USDJPY-FUTCUR,3100100325733,3.95,-3.95,10001,0.01,1,1000,-1,,2026-07-29T14:30:00,0,0,USDJPY 29JUL27AUG SPD,1,1,USDJPY26JUL26AUGFUT
NSECD,325124,4,USDINR,USDINR26JUL26OCTFUT,FUTCUR,USDINR-FUTCUR,3100100325124,2.41,-2.41,10001,0.0025,1,1000,-1,,2026-07-29T14:30:00,0,0,USDINR 29JUL28OCT SPD,1,1,USDINR26JUL26OCTFUT
NSECD,278380,4,91DTB,91DTB26JUN26JULFUT,FUTIRT,91DTB-FUTIRT,3100100278380,0.9475,-0.9475,7001,0.0025,1,2000,-1,,2026-06-24T14:30:00,0,0,91DTB 24JUN29JUL SPD,1,1,91DTB26JUN26JULFUT
NSECD,299699,4,723GS2039,723GS203926MAY26JULFUT,FUTIRC,723GS2039-FUTIRC,3100100299699,1.0025,-1.0025,1251,0.0025,1,2000,-1,,2026-05-27T14:30:00,0,0,723GS2039 27MAY30JUL SPD,1,1,723GS203926MAY26JULFUT
NSECD,3760051,4,723GS2039,723GS203926JUN26JULFUT,FUTIRC,723GS2039-FUTIRC,3100103760051,1.0025,-1.0025,1251,0.0025,1,2000,-1,,2026-06-25T14:30:00,0,0,723GS2039 25JUN30JUL SPD,1,1,723GS203926JUN26JULFUT
NSECD,1691121,4,USDINR,USDINR26JUN26JULFUT,FUTCUR,USDINR-FUTCUR,3100101691121,2.4025,-2.4025,10001,0.0025,1,1000,-1,,2026-06-25T14:30:00,0,0,USDINR 25JUN29JUL SPD,1,1,USDINR26JUN26JULFUT
NSECD,277148,4,601GS2030,601GS203026MAY26JUNFUT,FUTIRC,601GS2030-FUTIRC,3100100277148,0.9775,-0.9775,1251,0.0025,1,2000,-1,,2026-05-27T14:30:00,0,0,601GS2030 27MAY25JUN SPD,1,1,601GS203026MAY26JUNFUT
NSECD,651336,4,EURINR,EURINR26JUN26JUNFUT,FUTCUR,EURINR-FUTCUR,3100100651336,2.7975,-2.7975,10001,0.0025,1,1000,-1,,2026-06-05T14:30:00,0,0,EURINR 05JUN12JUN SPD,1,1,EURINR26JUN26JUNFUT
NSECD,1683597,4,EURINR,EURINR26JUN26JULFUT,FUTCUR,EURINR-FUTCUR,3100101683597,2.805,-2.805,10001,0.0025,1,1000,-1,,2026-06-25T14:30:00,0,0,EURINR 25JUN29JUL SPD,1,1,EURINR26JUN26JULFUT
NSECD,637166,4,GBPINR,GBPINR26JUN26JUNFUT,FUTCUR,GBPINR-FUTCUR,3100100637166,3.21,-3.21,10001,0.0025,1,1000,-1,,2026-06-05T14:30:00,0,0,GBPINR 05JUN19JUN SPD,1,1,GBPINR26JUN26JUNFUT
NSECD,842228,4,USDJPY,USDJPY26MAY26JULFUT,FUTCUR,USDJPY-FUTCUR,3100100842228,3.97,-3.97,10001,0.01,1,1000,-1,,2026-05-26T14:30:00,0,0,USDJPY 26MAY29JUL SPD,1,1,USDJPY26MAY26JULFUT
NSECD,807428,4,EURINR,EURINR26MAY26AUGFUT,FUTCUR,EURINR-FUTCUR,3100100807428,2.7975,-2.7975,10001,0.0025,1,1000,-1,,2026-05-26T14:30:00,0,0,EURINR 26MAY27AUG SPD,1,1,EURINR26MAY26AUGFUT
NSECD,299268,4,EURINR,EURINR26JUL26AUGFUT,FUTCUR,EURINR-FUTCUR,3100100299268,2.8125,-2.8125,10001,0.0025,1,1000,-1,,2026-07-29T14:30:00,0,0,EURINR 29JUL27AUG SPD,1,1,EURINR26JUL26AUGFUT
NSECD,825165,4,JPYINR,JPYINR26MAY26AUGFUT,FUTCUR,JPYINR-FUTCUR,3100100825165,1.515,-1.515,10001,0.0025,1,1000,-1,,2026-05-26T14:30:00,0,0,JPYINR 26MAY27AUG SPD,1,1,JPYINR26MAY26AUGFUT
NSECD,1691625,4,USDINR,USDINR26JUN26SEPFUT,FUTCUR,USDINR-FUTCUR,3100101691625,2.4025,-2.4025,10001,0.0025,1,1000,-1,,2026-06-25T14:30:00,0,0,USDINR 25JUN28SEP SPD,1,1,USDINR26JUN26SEPFUT
NSECD,1692304,4,668GS2040,668GS204026JUN26JULFUT,FUTIRC,668GS2040-FUTIRC,3100101692304,0.94,-0.94,1251,0.0025,1,2000,-1,,2026-06-25T14:30:00,0,0,668GS2040 25JUN30JUL SPD,1,1,668GS204026JUN26JULFUT
NSECD,1787573,4,GBPINR,GBPINR26MAY26JUNFUT,FUTCUR,GBPINR-FUTCUR,3100101787573,3.205,-3.205,10001,0.0025,1,1000,-1,,2026-05-22T14:30:00,0,0,GBPINR 22MAY05JUN SPD,1,1,GBPINR26MAY26JUNFUT
NSECD,3951593,4,EURINR,EURINR26JUN26JUNFUT,FUTCUR,EURINR-FUTCUR,3100103951593,2.8,-2.8,10001,0.0025,1,1000,-1,,2026-06-12T14:30:00,0,0,EURINR 12JUN19JUN SPD,1,1,EURINR26JUN26JUNFUT
NSECD,651850,4,JPYINR,JPYINR26JUN26JUNFUT,FUTCUR,JPYINR-FUTCUR,3100100651850,1.5175,-1.5175,10001,0.0025,1,1000,-1,,2026-06-05T14:30:00,0,0,JPYINR 05JUN12JUN SPD,1,1,JPYINR26JUN26JUNFUT
NSECD,826703,4,USDINR,USDINR26MAY26AUGFUT,FUTCUR,USDINR-FUTCUR,3100100826703,2.395,-2.395,10001,0.0025,1,1000,-1,,2026-05-26T14:30:00,0,0,USDINR 26MAY27AUG SPD,1,1,USDINR26MAY26AUGFUT
NSECD,651593,4,GBPINR,GBPINR26JUN26JUNFUT,FUTCUR,GBPINR-FUTCUR,3100100651593,3.21,-3.21,10001,0.0025,1,1000,-1,,2026-06-05T14:30:00,0,0,GBPINR 05JUN12JUN SPD,1,1,GBPINR26JUN26JUNFUT
NSECD,636905,4,EURINR,EURINR26JUN26JUNFUT,FUTCUR,EURINR-FUTCUR,3100100636905,2.7975,-2.7975,10001,0.0025,1,1000,-1,,2026-06-05T14:30:00,0,0,EURINR 05JUN19JUN SPD,1,1,EURINR26JUN26JUNFUT
NSECD,325609,4,USDINR,USDINR26JUL26SEPFUT,FUTCUR,USDINR-FUTCUR,3100100325609,2.41,-2.41,10001,0.0025,1,1000,-1,,2026-07-29T14:30:00,0,0,USDINR 29JUL28SEP SPD,1,1,USDINR26JUL26SEPFUT
NSECD,328300,4,91DTB,91DTB26MAY26JULFUT,FUTIRT,91DTB-FUTIRT,3100100328300,0.9475,-0.9475,7001,0.0025,1,2000,-1,,2026-05-27T14:30:00,0,0,91DTB 27MAY29JUL SPD,1,1,91DTB26MAY26JULFUT
NSECD,1691380,4,USDJPY,USDJPY26JUN26JULFUT,FUTCUR,USDJPY-FUTCUR,3100101691380,3.96,-3.96,10001,0.01,1,1000,-1,,2026-06-25T14:30:00,0,0,USDJPY 25JUN29JUL SPD,1,1,USDJPY26JUN26JULFUT
NSECD,1690535,4,GBPUSD,GBPUSD26JUN26JULFUT,FUTCUR,GBPUSD-FUTCUR,3100101690535,0.0334,-0.0334,10001,0.0001,1,1000,-1,,2026-06-25T14:30:00,0,0,GBPUSD 25JUN29JUL SPD,1,1,GBPUSD26JUN26JULFUT
NSECD,3189835,4,USDINR,USDINR26MAY26JUNFUT,FUTCUR,USDINR-FUTCUR,3100103189835,2.4,-2.4,10001,0.0025,1,1000,-1,,2026-05-29T14:30:00,0,0,USDINR 29MAY12JUN SPD,1,1,USDINR26MAY26JUNFUT
NSECD,279977,4,668GS2040,668GS204026MAY26JUNFUT,FUTIRC,668GS2040-FUTIRC,3100100279977,0.94,-0.94,1251,0.0025,1,2000,-1,,2026-05-27T14:30:00,0,0,668GS2040 27MAY25JUN SPD,1,1,668GS204026MAY26JUNFUT
NSECD,287283,4,633GS2035,633GS203526MAY26JUNFUT,FUTIRC,633GS2035-FUTIRC,3100100287283,0.96,-0.96,1251,0.0025,1,2000,-1,,2026-05-27T14:30:00,0,0,633GS2035 27MAY25JUN SPD,1,1,633GS203526MAY26JUNFUT
NSECD,1690015,4,EURUSD,EURUSD26JUN26JULFUT,FUTCUR,EURUSD-FUTCUR,3100101690015,0.0292,-0.0292,10001,0.0001,1,1000,-1,,2026-06-25T14:30:00,0,0,EURUSD 25JUN29JUL SPD,1,1,EURUSD26JUN26JULFUT
NSECD,1690701,4,JPYINR,JPYINR26JUN26AUGFUT,FUTCUR,JPYINR-FUTCUR,3100101690701,1.5225,-1.5225,10001,0.0025,1,1000,-1,,2026-06-25T14:30:00,0,0,JPYINR 25JUN27AUG SPD,1,1,JPYINR26JUN26AUGFUT
NSECD,825324,4,JPYINR,JPYINR26MAY26JULFUT,FUTCUR,JPYINR-FUTCUR,3100100825324,1.515,-1.515,10001,0.0025,1,1000,-1,,2026-05-26T14:30:00,0,0,JPYINR 26MAY29JUL SPD,1,1,JPYINR26MAY26JULFUT
NSECD,1690860,4,JPYINR,JPYINR26JUN26JULFUT,FUTCUR,JPYINR-FUTCUR,3100101690860,1.5225,-1.5225,10001,0.0025,1,1000,-1,,2026-06-25T14:30:00,0,0,JPYINR 25JUN29JUL SPD,1,1,JPYINR26JUN26JULFUT
NSECD,815264,4,GBPINR,GBPINR26MAY26JULFUT,FUTCUR,GBPINR-FUTCUR,3100100815264,3.2075,-3.2075,10001,0.0025,1,1000,-1,,2026-05-26T14:30:00,0,0,GBPINR 26MAY29JUL SPD,1,1,GBPINR26MAY26JULFUT
NSECD,827369,4,USDINR,USDINR26MAY26SEPFUT,FUTCUR,USDINR-FUTCUR,3100100827369,2.395,-2.395,10001,0.0025,1,1000,-1,,2026-05-26T14:30:00,0,0,USDINR 26MAY28SEP SPD,1,1,USDINR26MAY26SEPFUT
NSECD,826865,4,USDINR,USDINR26MAY26JULFUT,FUTCUR,USDINR-FUTCUR,3100100826865,2.395,-2.395,10001,0.0025,1,1000,-1,,2026-05-26T14:30:00,0,0,USDINR 26MAY29JUL SPD,1,1,USDINR26MAY26JULFUT
NSECD,3174836,4,EURINR,EURINR26MAY26JUNFUT,FUTCUR,EURINR-FUTCUR,3100103174836,2.7925,-2.7925,10001,0.0025,1,1000,-1,,2026-05-29T14:30:00,0,0,EURINR 29MAY05JUN SPD,1,1,EURINR26MAY26JUNFUT
NSECD,3749769,4,633GS2035,633GS203526JUN26JULFUT,FUTIRC,633GS2035-FUTIRC,3100103749769,0.96,-0.96,1251,0.0025,1,2000,-1,,2026-06-25T14:30:00,0,0,633GS2035 25JUN30JUL SPD,1,1,633GS203526JUN26JULFUT
NSECD,809221,4,EURUSD,EURUSD26MAY26AUGFUT,FUTCUR,EURUSD-FUTCUR,3100100809221,0.0291,-0.0291,10001,0.0001,1,1000,-1,,2026-05-26T14:30:00,0,0,EURUSD 26MAY27AUG SPD,1,1,EURUSD26MAY26AUGFUT
NSECD,3188041,4,GBPINR,GBPINR26MAY26JUNFUT,FUTCUR,GBPINR-FUTCUR,3100103188041,3.2075,-3.2075,10001,0.0025,1,1000,-1,,2026-05-29T14:30:00,0,0,GBPINR 29MAY12JUN SPD,1,1,GBPINR26MAY26JUNFUT
NSECD,638215,4,USDINR,USDINR26JUN26JUNFUT,FUTCUR,USDINR-FUTCUR,3100100638215,2.4025,-2.4025,10001,0.0025,1,1000,-1,,2026-06-05T14:30:00,0,0,USDINR 05JUN19JUN SPD,1,1,USDINR26JUN26JUNFUT
NSECD,3176889,4,USDINR,USDINR26MAY26JUNFUT,FUTCUR,USDINR-FUTCUR,3100103176889,2.4,-2.4,10001,0.0025,1,1000,-1,,2026-05-29T14:30:00,0,0,USDINR 29MAY05JUN SPD,1,1,USDINR26MAY26JUNFUT
NSECD,827079,4,GBPUSD,GBPUSD26MAY26JUNFUT,FUTCUR,GBPUSD-FUTCUR,3100100827079,0.0334,-0.0334,10001,0.0001,1,1000,-1,,2026-05-26T14:30:00,0,0,GBPUSD 26MAY25JUN SPD,1,1,GBPUSD26MAY26JUNFUT
NSECD,842085,4,USDJPY,USDJPY26MAY26AUGFUT,FUTCUR,USDJPY-FUTCUR,3100100842085,3.97,-3.97,10001,0.01,1,1000,-1,,2026-05-26T14:30:00,0,0,USDJPY 26MAY27AUG SPD,1,1,USDJPY26MAY26AUGFUT
NSECD,3759507,4,679GS2034,679GS203426JUN26JULFUT,FUTIRC,679GS2034-FUTIRC,3100103759507,0.985,-0.985,1251,0.0025,1,2000,-1,,2026-06-25T14:30:00,0,0,679GS2034 25JUN30JUL SPD,1,1,679GS203426JUN26JULFUT
NSECD,832201,4,USDINR,USDINR26MAY26JUNFUT,FUTCUR,USDINR-FUTCUR,3100100832201,2.395,-2.395,10001,0.0025,1,1000,-1,,2026-05-26T14:30:00,0,0,USDINR 26MAY25JUN SPD,1,1,USDINR26MAY26JUNFUT
NSECD,273801,4,633GS2035,633GS203526MAY26JULFUT,FUTIRC,633GS2035-FUTIRC,3100100273801,0.96,-0.96,1251,0.0025,1,2000,-1,,2026-05-27T14:30:00,0,0,633GS2035 27MAY30JUL SPD,1,1,633GS203526MAY26JULFUT
NSECD,3175093,4,GBPINR,GBPINR26MAY26JUNFUT,FUTCUR,GBPINR-FUTCUR,3100103175093,3.2075,-3.2075,10001,0.0025,1,1000,-1,,2026-05-29T14:30:00,0,0,GBPINR 29MAY05JUN SPD,1,1,GBPINR26MAY26JUNFUT
NSECD,303877,4,EURUSD,EURUSD26JUL26AUGFUT,FUTCUR,EURUSD-FUTCUR,3100100303877,0.0292,-0.0292,10001,0.0001,1,1000,-1,,2026-07-29T14:30:00,0,0,EURUSD 29JUL27AUG SPD,1,1,EURUSD26JUL26AUGFUT
NSECD,283652,4,USDINR,USDINR26AUG26OCTFUT,FUTCUR,USDINR-FUTCUR,3100100283652,2.415,-2.415,10001,0.0025,1,1000,-1,,2026-08-27T14:30:00,0,0,USDINR 27AUG28OCT SPD,1,1,USDINR26AUG26OCTFUT
NSECD,3173614,4,GBPINR,GBPINR26MAY26JUNFUT,FUTCUR,GBPINR-FUTCUR,3100103173614,3.2075,-3.2075,10001,0.0025,1,1000,-1,,2026-05-29T14:30:00,0,0,GBPINR 29MAY19JUN SPD,1,1,GBPINR26MAY26JUNFUT
