ExchangeSegment,ExchangeInstrumentId,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentId,PriceBandHigh,PriceBandLow,FreezeQty,TickSize,LotSize,Multiplier,DisplayName,Isin,PriceNumerator,PriceDenominator,DetailedDescription,UnknownFieldOne,UnknownFieldTwo,UnknownFieldThree
NSECM,24328,8,753ICICI34,753ICICI34-N0,N0,753ICICI34-N0,1100100024328,120000,80000,999,0.01,1,1,753ICICI34,INE090A08UL3,1,1,ICICI 7.53% 2034 DJU24LB-N0,0,-1,-1
NSECM,20360,8,779PN37,779PN37-SG,SG,779PN37-SG,1100100020360,105,95,999999,0.01,100,1,779PN37,IN2820230208,1,1,SDL PN 7.79% 2037-SG,0,-1,-1
NSECM,18410,8,744TS39A,744TS39A-SG,SG,744TS39A-SG,1100100018410,99.75,90.25,1052599,0.01,100,1,744TS39A,IN4520230215,1,1,SDL TS 7.44% 2039-SG,0,-1,-1
NSECM,25863,8,LAKSHYA,LAKSHYA-ST,ST,LAKSHYA-ST,1100100025863,166.8,150.95,329744,0.05,800,1,LAKSHYA,INE0VZS01015,1,1,LAKSHYA POWERTECH LIMITED-ST,34,-1,-1
NSECM,22451,8,643UK30,643UK30-SG,SG,643UK30-SG,1100100022451,105,95,999999,0.01,100,1,643UK30,IN3620200029,1,1,SDL UK 6.43% 2030-SG,0,-1,-1
NSECM,10394,8,785PN32,785PN32-SG,SG,785PN32-SG,1100100010394,105,95,999999,0.01,100,1,785PN32,IN2820220050,1,1,SDL PN 7.85% 2032-SG,0,-1,-1
NSECM,23027,8,LANCORHOL,LANCORHOL-EQ,EQ,LANCORHOL-EQ,1100100023027,26.94,17.37,2386954,0.01,1,1,LANCORHOL,INE572G01025,1,1,LANCOR HOLDINGS LIMITED-EQ,0,-1,-1
NSECM,25892,8,DBEIL,DBEIL-EQ,EQ,DBEIL-EQ,1100100025892,177.94,118.63,674351,0.01,1,1,DBEIL,INE0OPA01019,1,1,DEEPAK BUILDERS & ENG I L-EQ,0,-1,-1
NSECM,27079,8,KPEL,KPEL-EQ,EQ,KPEL-EQ,1100100027079,398.8,360.85,263225,0.05,1,1,KPEL,INE127T01021,1,1,K.P. ENERGY LIMITED-EQ,0,-1,-1
NSECM,29897,8,MANAPPURAM,MANAPPURAM-T0,T0,MANAPPURAM-T0,1100100029897,235.15,230.5,429142,0.01,1,1,MANAPPURAM,INE522D01027,1,1,MANAPPURAM FINANCE LTD-T0,0,-1,-1
NSECM,5585,8,VIJAYA,VIJAYA-EQ,EQ,VIJAYA-EQ,1100100005585,1202.55,801.75,99762,0.05,1,1,VIJAYA,INE043W01024,1,1,VIJAYA DIAGNOSTIC CEN LTD-EQ,0,-1,-1
NSECM,20913,8,672GA30,672GA30-SG,SG,672GA30-SG,1100100020913,107.47,97.24,326999,0.01,100,1,672GA30,IN1420200033,1,1,SDL GA 6.72% 2030-SG,0,-1,-1
NSECM,24003,8,738KL55,738KL55-SG,SG,738KL55-SG,1100100024003,105,95,999999,0.01,100,1,738KL55,IN2020240056,1,1,SDL KL 7.38% 2055-SG,0,-1,-1
NSECM,16802,8,737NL33A,737NL33A-SG,SG,737NL33A-SG,1100100016802,105,95,490499,0.01,100,1,737NL33A,IN2620230044,1,1,SDL NL 7.37% 2033-SG,0,-1,-1
NSECM,1382,8,673PN40,673PN40-SG,SG,673PN40-SG,1100100001382,105,95,999899,0.01,100,1,673PN40,IN2820200169,1,1,SDL PN 6.73% 2040-SG,0,-1,-1
NSECM,18773,8,MARCO,MARCO-SM,SM,MARCO-SM,1100100018773,40.7,27.2,611457,0.05,1500,1,MARCO,INE0QP001012,1,1,MARCO CABLE & CONDUCTOR L-SM,0,-1,-1
NSECM,11605,8,INDSWFTLTD,INDSWFTLTD-BE,BE,INDSWFTLTD-BE,1100100011605,14.79,12.11,1771184,0.01,1,1,INDSWFTLTD,INE788B01028,1,1,IND-SWIFT LIMITED-BE,34,-1,-1
NSECM,20844,8,72HP35,72HP35-SG,SG,72HP35-SG,1100100020844,112.06,101.39,936899,0.01,100,1,72HP35,IN1720190090,1,1,SDL HP 7.2% 2035-SG,0,-1,-1
NSECM,8299,8,713TS37,713TS37-SG,SG,713TS37-SG,1100100008299,105,95,999999,0.01,100,1,713TS37,IN4520210266,1,1,SDL TS 7.13% 2037-SG,0,-1,-1
NSECM,24753,8,723TN34,723TN34-SG,SG,723TN34-SG,1100100024753,105,95,999999,0.01,100,1,723TN34,IN3120240202,1,1,SDL TN 7.23% 2034-SG,0,-1,-1
NSECM,2939,8,RUBYMILLS,RUBYMILLS-EQ,EQ,RUBYMILLS-EQ,1100100002939,226.4,150.93,530023,0.01,1,1,RUBYMILLS,INE301D01026,1,1,THE RUBY MILLS LTD-EQ,0,-1,-1
NSECM,15110,8,704IRFC26,704IRFC26-NL,NL,704IRFC26-NL,1100100015110,1233.73,822.48,15891,0.01,1,1,704IRFC26,INE053F07876,1,1,TAX FREE 7.04% SR. 107-NL,0,-1,-1
NSECM,10605,8,LOYALTEX,LOYALTEX-BE,BE,LOYALTEX-BE,1100100010605,235.42,212.99,157497,0.01,1,1,LOYALTEX,INE970D01010,1,1,LOYAL TEXTILE MILLS LTD-BE,34,-1,-1
NSECM,18172,8,BPF01QDD,BPF01QDD-MF,MF,BPF01QDD-MF,1100100018172,1.1,0.9,19973,0.01,1,1,BPF01QDD,INF955L01IP4,1,1,BARODAPAMC - BPF01QDD-MF,0,-1,-1
NSECM,22373,8,668HR39,668HR39-SG,SG,668HR39-SG,1100100022373,105,95,999999,0.01,100,1,668HR39,IN1620200080,1,1,SDL HR 6.68% 2039-SG,0,-1,-1
NSECM,23313,8,957SCL31,957SCL31-Z3,Z3,957SCL31-Z3,1100100023313,1200,800,3,0.01,1,1,957SCL31,INE148I07ST1,1,1,SEC RE NCD 9.57% SR X-Z3,0,-1,-1
NSECM,17111,8,746AP43,746AP43-SG,SG,746AP43-SG,1100100017111,105,95,999999,0.01,100,1,746AP43,IN1020230315,1,1,SDL AP 7.46% 2043-SG,0,-1,-1
NSECM,17197,8,PAKKA,PAKKA-EQ,EQ,PAKKA-EQ,1100100017197,203.06,135.37,590932,0.01,1,1,PAKKA,INE551D01018,1,1,PAKKA LIMITED-EQ,0,-1,-1
NSECM,20724,8,755GJ31,755GJ31-SG,SG,755GJ31-SG,1100100020724,101.85,92.15,1030799,0.01,100,1,755GJ31,IN1520230138,1,1,SDL GJ 7.55% 2031-SG,0,-1,-1
NSECM,11432,8,KRITINUT,KRITINUT-EQ,EQ,KRITINUT-EQ,1100100011432,123.54,82.36,971306,0.01,1,1,KRITINUT,INE798K01010,1,1,KRITI NUTRIENTS LIMITED-EQ,0,-1,-1
NSECM,1940,8,663ML31,663ML31-SG,SG,663ML31-SG,1100100001940,105,95,346619,0.01,100,1,663ML31,IN2420200106,1,1,SDL ML 6.63% 2031-SG,0,-1,-1
NSECM,25080,8,MULTICAP,MULTICAP-EQ,EQ,MULTICAP-EQ,1100100025080,17.56,11.71,983872,0.01,1,1,MULTICAP,INF769K01LX9,1,1,MIRAEAMC - MULTICAP-EQ,0,-1,-1
NSECM,16229,8,736MP33,736MP33-SG,SG,736MP33-SG,1100100016229,105,95,999999,0.01,100,1,736MP33,IN2120230015,1,1,SDL MP 7.36% 2033-SG,0,-1,-1
NSECM,10749,8,753NTPC30E,753NTPC30E-NC,NC,753NTPC30E-NC,1100100010749,1325.34,883.56,15792,0.01,1,1,753NTPC30E,INE733E07JV4,1,1,TFB 7.53% 2030 SR. 2B-NC,0,-1,-1
NSECM,20100,8,711AS30,711AS30-SG,SG,711AS30-SG,1100100020100,110.22,99.73,952549,0.01,100,1,711AS30,IN1220190186,1,1,SDL AS 7.11% 2030-SG,0,-1,-1
NSECM,29805,8,HBLENGINE,HBLENGINE-T0,T0,HBLENGINE-T0,1100100029805,470.1,460.8,214826,0.05,1,1,HBLENGINE,INE292B01021,1,1,HBL ENGINEERING LTD-T0,0,-1,-1
NSECM,19174,8,75AP41,75AP41-SG,SG,75AP41-SG,1100100019174,105,95,999999,0.01,100,1,75AP41,IN1020230497,1,1,SDL AP 7.5% 2041-SG,0,-1,-1
NSECM,20582,8,797ABF28,797ABF28-NA,NA,797ABF28-NA,1100100020582,120000,80000,999,0.01,1,1,797ABF28,INE860H07IO5,1,1,ABFL 7.97% 2028 SR D1-NA,0,-1,-1
NSECM,24570,8,733TS42,733TS42-SG,SG,733TS42-SG,1100100024570,105,95,999999,0.01,100,1,733TS42,IN4520240206,1,1,SDL TS 7.33% 2042-SG,0,-1,-1
NSECM,4889,8,694UP31A,694UP31A-SG,SG,694UP31A-SG,1100100004889,105,95,999999,0.01,100,1,694UP31A,IN3320210021,1,1,SDL UP 6.94% 2031-SG,0,-1,-1
NSECM,24443,8,820ABSLI34,820ABSLI34-N0,N0,820ABSLI34-N0,1100100024443,120000,80000,980,0.01,1,1,820ABSLI34,INE951F08051,1,1,ABSLI 8.20% 2034-N0,0,-1,-1
NSECM,20231,8,766ML32,766ML32-SG,SG,766ML32-SG,1100100020231,105,95,555899,0.01,100,1,766ML32,IN2420230053,1,1,SDL ML 7.66% 2032-SG,0,-1,-1
NSECM,3837,8,TOKYOPLAST,TOKYOPLAST-EQ,EQ,TOKYOPLAST-EQ,1100100003837,151.08,100.72,310695,0.01,1,1,TOKYOPLAST,INE932C01012,1,1,TOKYO PLAST INTL LTD-EQ,0,-1,-1
NSECM,29098,8,DDEVPLSTIK,DDEVPLSTIK-EQ,EQ,DDEVPLSTIK-EQ,1100100029098,307.72,205.15,389900,0.01,1,1,DDEVPLSTIK,INE0HR601026,1,1,DDEV PLASTIKS IND LTD-EQ,0,-1,-1
NSECM,22029,8,703PY28,703PY28-SG,SG,703PY28-SG,1100100022029,109.57,99.14,326999,0.01,100,1,703PY28,IN3820190061,1,1,SDL PY 7.03% 2028-SG,0,-1,-1
NSECM,11866,8,757GJ26,757GJ26-SG,SG,757GJ26-SG,1100100011866,105.13,95.12,998699,0.01,100,1,757GJ26,IN1520220154,1,1,SDL GJ 7.57% 2026-SG,0,-1,-1
NSECM,10840,8,HDFC1406DQ,HDFC1406DQ-MF,MF,HDFC1406DQ-MF,1100100010840,11,9,5199,0.01,1,1,HDFC1406DQ,INF179KC1DE1,1,1,HDFCAMC - HDFC1406DQ-MF,0,-1,-1
NSECM,29404,8,VIJAYA,VIJAYA-T0,T0,VIJAYA-T0,1100100029404,1012.15,992.15,99762,0.05,1,1,VIJAYA,INE043W01024,1,1,VIJAYA DIAGNOSTIC CEN LTD-T0,0,-1,-1
NSECM,9463,8,SONUINFRA,SONUINFRA-ST,ST,SONUINFRA-ST,1100100009463,104.8,100.7,256694,0.05,3000,1,SONUINFRA,INE0JZA01018,1,1,SONU INFRATECH LIMITED-ST,35,-1,-1
