Name,InstrumentID
NIFTY 50,26000
NIFTY BANK,26001
INDIA VIX,26002
NIFTY IT,26003
NIFTY 100,26004
NIFTY MIDCAP 50,26005
NIFTY GS 11 15YR,26006
NIFTY INFRA,26007
NIFTY100 LIQ 15,26008
NIFTY REALTY,26009
NIFTY CPSE,26010
NIFTY GS COMPSITE,26011
NIFTY OIL AND GAS,26012
NIFTY50 TR 1X INV,26013
NIFTY PHARMA,26014
NIFTY PSE,26015
NIFTY MIDCAP 150,26016
NIFTY MIDCAP 100,26017
NIFTY SERV SECTOR,26018
NIFTY 500,26019
NIFTY ALPHA 50,26020
NIFTY50 VALUE 20,26021
NIFTY200 QUALTY30,26022
NIFTY SMLCAP 250,26023
NIFTY GROWSECT 15,26024
NIFTY50 PR 1X INV,26025
NIFTY50 EQL WGT,26026
NIFTY PSU BANK,26027
NIFTY SMLCAP 100,26028
NIFTY LARGEMID250,26029
NIFTY100 EQL WGT,26030
NIFTY SMLCAP 50,26031
NIFTY ENERGY,26032
NIFTY GS 10YR,26033
NIFTY FIN SERVICE,26034
NIFTY MIDSML 400,26035
NIFTY METAL,26036
NIFTY CONSR DURBL,26037
NIFTY DIV OPPS 50,26038
NIFTY GS 15YRPLUS,26039
NIFTY MEDIA,26040
NIFTY FMCG,26041
NIFTY PVT BANK,26042
NIFTY200MOMENTM30,26043
HANGSENG BEES-NAV,26044
NIFTY100 LOWVOL30,26045
NIFTY50 TR 2X LEV,26046
NIFTY CONSUMPTION,26047
NIFTY GS 8 13YR,26048
NIFTY100ESGSECLDR,26049
NIFTY GS 10YR CLN,26050
NIFTY GS 4 8YR,26051
NIFTY AUTO,26052
NIFTY COMMODITIES,26053
NIFTY NEXT 50,26054
NIFTY MNC,26055
NIFTY MID LIQ 15,26056
NIFTY HEALTHCARE,26057
NIFTY500 MULTICAP,26058
NIFTY ALPHALOWVOL,26059
NIFTY FINSRV25 50,26060
NIFTY50 PR 2X LEV,26061
NIFTY100 QUALTY30,26062
NIFTY50 DIV POINT,26063
NIFTY 200,26064
MIDCPNIFTY,26121
