ExchangeSegment,ExchangeInstrumentId,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentId,PriceBandHigh,PriceBandLow,FreezeQty,TickSize,LotSize,Multiplier,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,StrikePrice,OptionType,DisplayName,PriceNumerator,PriceDenominator,DetailedDescription
NSEFO,17614100,4,LICI,LICI26SEP26OCTFUT,FUTSTK,LICI-FUTSTK,2100117614100,10.25,-10.25,56001,0.05,1400,1,-1,,2026-09-29T14:30:00,0,0,LICI 29SEP27OCT SPD,1,1,LICI26SEP26OCTFUT
NSEFO,17613586,4,LAURUSLABS,LAURUSLABS26SEP26OCTFUT,FUTSTK,LAURUSLABS-FUTSTK,2100117613586,46.4,-46.4,17001,0.1,850,1,-1,,2026-09-29T14:30:00,0,0,LAURUSLABS 29SEP27OCT SPD,1,1,LAURUSLABS26SEP26OCTFUT
NSEFO,14944077,4,ASTRAL,ASTRAL26AUG26SEPFUT,FUTSTK,ASTRAL-FUTSTK,2100114944077,35.5,-35.5,17001,0.1,425,1,-1,,2026-08-25T14:30:00,0,0,ASTRAL 25AUG29SEP SPD,1,1,ASTRAL26AUG26SEPFUT
NSEFO,17577663,4,DIVISLAB,DIVISLAB26SEP26OCTFUT,FUTSTK,DIVISLAB-FUTSTK,2100117577663,215.5,-215.5,3001,0.5,100,1,-1,,2026-09-29T14:30:00,0,0,DIVISLAB 29SEP27OCT SPD,1,1,DIVISLAB26SEP26OCTFUT
NSEFO,14962813,4,EICHERMOT,EICHERMOT26AUG26SEPFUT,FUTSTK,EICHERMOT-FUTSTK,2100114962813,200.5,-200.5,3001,0.5,100,1,-1,,2026-08-25T14:30:00,0,0,EICHERMOT 25AUG29SEP SPD,1,1,EICHERMOT26AUG26SEPFUT
NSEFO,14947157,4,BAJAJHLDNG,BAJAJHLDNG26AUG26SEPFUT,FUTSTK,BAJAJHLDNG-FUTSTK,2100114947157,288,-288,2251,1,75,1,-1,,2026-08-25T14:30:00,0,0,BAJAJHLDNG 25AUG29SEP SPD,1,1,BAJAJHLDNG26AUG26SEPFUT
NSEFO,14967685,4,GODFRYPHLP,GODFRYPHLP26AUG26SEPFUT,FUTSTK,GODFRYPHLP-FUTSTK,2100114967685,55.5,-55.5,11001,0.1,275,1,-1,,2026-08-25T14:30:00,0,0,GODFRYPHLP 25AUG29SEP SPD,1,1,GODFRYPHLP26AUG26SEPFUT
NSEFO,14947675,4,BANDHANBNK,BANDHANBNK26AUG26SEPFUT,FUTSTK,BANDHANBNK-FUTSTK,2100114947675,4.31,-4.31,108001,0.01,3600,1,-1,,2026-08-25T14:30:00,0,0,BANDHANBNK 25AUG29SEP SPD,1,1,BANDHANBNK26AUG26SEPFUT
NSEFO,14947418,4,BAJFINANCE,BAJFINANCE26AUG26SEPFUT,FUTSTK,BAJFINANCE-FUTSTK,2100114947418,27.5,-27.5,22501,0.1,750,1,-1,,2026-08-25T14:30:00,0,0,BAJFINANCE 25AUG29SEP SPD,1,1,BAJFINANCE26AUG26SEPFUT
NSEFO,14954351,4,COALINDIA,COALINDIA26AUG26SEPFUT,FUTSTK,COALINDIA-FUTSTK,2100114954351,10.35,-10.35,54001,0.05,1350,1,-1,,2026-08-25T14:30:00,0,0,COALINDIA 25AUG29SEP SPD,1,1,COALINDIA26AUG26SEPFUT
